exec,mode,threads_req,threads_eff,width,height,N,speed,frame,dt_s,update_ms,render_ms,total_ms,fps
omp,rain,0,16,1280,720,300,160.000,0,0.000432,0.054,42.878,42.932,2314.81
omp,rain,0,16,1280,720,300,160.000,1,0.043118,0.141,5.848,5.988,23.19
omp,rain,0,16,1280,720,300,160.000,2,0.006054,0.090,7.514,7.603,165.18
omp,rain,0,16,1280,720,300,160.000,3,0.007672,0.143,6.592,6.736,130.34
omp,rain,0,16,1280,720,300,160.000,4,0.006828,0.154,7.587,7.741,146.46
omp,rain,0,16,1280,720,300,160.000,5,0.007844,0.178,7.245,7.423,127.49
omp,rain,0,16,1280,720,300,160.000,6,0.007488,0.125,8.152,8.277,133.55
omp,rain,0,16,1280,720,300,160.000,7,0.008423,0.173,8.324,8.496,118.72
omp,rain,0,16,1280,720,300,160.000,8,0.008573,0.116,4.652,4.768,116.65
omp,rain,0,16,1280,720,300,160.000,9,0.004819,0.068,6.382,6.450,207.51
omp,rain,0,16,1280,720,300,160.000,10,0.006518,0.109,5.416,5.525,153.42
omp,rain,0,16,1280,720,300,160.000,11,0.005589,0.107,4.516,4.623,178.92
omp,rain,0,16,1280,720,300,160.000,12,0.004744,0.153,6.794,6.947,210.79
omp,rain,0,16,1280,720,300,160.000,13,0.007014,0.116,5.304,5.420,142.57
omp,rain,0,16,1280,720,300,160.000,14,0.005513,0.176,6.500,6.675,181.39
omp,rain,0,16,1280,720,300,160.000,15,0.006762,0.314,5.047,5.361,147.89
omp,rain,0,16,1280,720,300,160.000,16,0.005428,0.094,6.815,6.910,184.23
omp,rain,0,16,1280,720,300,160.000,17,0.006988,0.111,6.725,6.836,143.10
omp,rain,0,16,1280,720,300,160.000,18,0.006898,0.142,5.077,5.219,144.97
omp,rain,0,16,1280,720,300,160.000,19,0.005371,0.174,5.237,5.411,186.19
omp,rain,0,16,1280,720,300,160.000,20,0.005490,0.084,6.086,6.170,182.15
omp,rain,0,16,1280,720,300,160.000,21,0.006236,0.111,4.382,4.493,160.36
omp,rain,0,16,1280,720,300,160.000,22,0.004544,0.058,3.730,3.787,220.07
omp,rain,0,16,1280,720,300,160.000,23,0.003827,0.047,5.001,5.048,261.30
omp,rain,0,16,1280,720,300,160.000,24,0.005149,0.148,6.589,6.737,194.21
omp,rain,0,16,1280,720,300,160.000,25,0.006788,0.095,4.091,4.186,147.32
omp,rain,0,16,1280,720,300,160.000,26,0.004229,0.054,5.127,5.180,236.46
omp,rain,0,16,1280,720,300,160.000,27,0.005250,0.077,6.748,6.826,190.48
omp,rain,0,16,1280,720,300,160.000,28,0.006877,0.107,4.602,4.710,145.41
omp,rain,0,16,1280,720,300,160.000,29,0.004767,0.103,4.967,5.070,209.78
omp,rain,0,16,1280,720,300,160.000,30,0.005158,0.152,6.178,6.330,193.87
omp,rain,0,16,1280,720,300,160.000,31,0.006392,0.085,5.544,5.629,156.45
omp,rain,0,16,1280,720,300,160.000,32,0.005679,0.070,7.242,7.312,176.09
