mode,threads,width,height,N,speed,frame,dt_s,update_ms,render_ms,total_ms,fps
rain,8,800,600,200,220.000,0,0.000510,0.028,7.638,7.666,1960.78
rain,8,800,600,200,220.000,1,0.007725,0.032,1.672,1.704,129.45
rain,8,800,600,200,220.000,2,0.001724,0.016,4.298,4.314,580.05
rain,8,800,600,200,220.000,3,0.004335,0.018,1.111,1.129,230.68
rain,8,800,600,200,220.000,4,0.001150,0.014,1.568,1.582,869.57
rain,8,800,600,200,220.000,5,0.001601,0.015,3.429,3.445,624.61
rain,8,800,600,200,220.000,6,0.003477,0.041,0.524,0.565,287.60
rain,8,800,600,200,220.000,7,0.000577,0.017,9.582,9.600,1733.10
rain,8,800,600,200,220.000,8,0.009636,0.020,3.953,3.973,103.78
rain,8,800,600,200,220.000,9,0.003988,0.013,18.013,18.026,250.75
rain,8,800,600,200,220.000,10,0.018035,0.009,1.074,1.083,55.45
rain,8,800,600,200,220.000,11,0.001092,0.009,15.042,15.051,915.75
rain,8,800,600,200,220.000,12,0.015061,0.009,1.410,1.419,66.40
rain,8,800,600,200,220.000,13,0.001440,0.022,10.145,10.167,694.44
rain,8,800,600,200,220.000,14,0.010180,0.011,4.264,4.275,98.23
rain,8,800,600,200,220.000,15,0.004281,0.008,18.313,18.321,233.59
rain,8,800,600,200,220.000,16,0.018331,0.010,0.947,0.956,54.55
rain,8,800,600,200,220.000,17,0.000966,0.009,15.521,15.530,1035.20
rain,8,800,600,200,220.000,18,0.015540,0.009,1.039,1.048,64.35
rain,8,800,600,200,220.000,19,0.001065,0.013,9.359,9.372,938.97
rain,8,800,600,200,220.000,20,0.009381,0.009,4.942,4.951,106.60
rain,8,800,600,200,220.000,21,0.004960,0.011,18.307,18.318,201.61
rain,8,800,600,200,220.000,22,0.018327,0.008,0.614,0.622,54.56
rain,8,800,600,200,220.000,23,0.000630,0.007,14.757,14.764,1587.30
rain,8,800,600,200,220.000,24,0.014774,0.008,0.756,0.764,67.69
rain,8,800,600,200,220.000,25,0.000774,0.009,10.540,10.549,1291.99
rain,8,800,600,200,220.000,26,0.010558,0.008,4.911,4.919,94.71
rain,8,800,600,200,220.000,27,0.004929,0.009,17.340,17.350,202.88
rain,8,800,600,200,220.000,28,0.017359,0.009,0.718,0.727,57.61
rain,8,800,600,200,220.000,29,0.000740,0.012,16.916,16.928,1351.35
rain,8,800,600,200,220.000,30,0.016937,0.011,0.944,0.955,59.04
rain,8,800,600,200,220.000,31,0.000964,0.010,14.529,14.539,1037.34
rain,8,800,600,200,220.000,32,0.014549,0.008,0.812,0.820,68.73
rain,8,800,600,200,220.000,33,0.000835,0.024,10.075,10.098,1197.60
rain,8,800,600,200,220.000,34,0.010108,0.008,5.326,5.334,98.93
rain,8,800,600,200,220.000,35,0.005344,0.017,16.940,16.957,187.13
rain,8,800,600,200,220.000,36,0.016966,0.008,0.882,0.890,58.94
rain,8,800,600,200,220.000,37,0.000897,0.008,16.929,16.937,1114.83
rain,8,800,600,200,220.000,38,0.016946,0.009,1.015,1.024,59.01
rain,8,800,600,200,220.000,39,0.001034,0.009,14.819,14.828,967.12
rain,8,800,600,200,220.000,40,0.014837,0.014,0.656,0.670,67.40
rain,8,800,600,200,220.000,41,0.000679,0.009,10.245,10.254,1472.75
rain,8,800,600,200,220.000,42,0.010266,0.009,5.220,5.229,97.41
rain,8,800,600,200,220.000,43,0.005239,0.008,17.379,17.387,190.88
rain,8,800,600,200,220.000,44,0.017400,0.013,0.739,0.751,57.47
rain,8,800,600,200,220.000,45,0.000766,0.018,9.720,9.738,1305.48
rain,8,800,600,200,220.000,46,0.009747,0.009,5.421,5.430,102.60
