mode,threads,width,height,N,speed,frame,dt_s,update_ms,render_ms,total_ms,fps
rain,0,800,600,200,220.000,0,0.021382,39.942,24.192,64.134,46.77
rain,0,800,600,200,220.000,1,0.064203,0.292,3.659,3.952,15.58
rain,0,800,600,200,220.000,2,0.003971,0.020,0.291,0.311,251.83
rain,0,800,600,200,220.000,3,0.000320,0.015,11.714,11.729,3125.00
rain,0,800,600,200,220.000,4,0.011740,13.760,4.144,17.904,85.18
rain,0,800,600,200,220.000,5,0.017919,0.021,0.450,0.472,55.81
rain,0,800,600,200,220.000,6,0.000483,0.016,2.972,2.989,2070.39
rain,0,800,600,200,220.000,7,0.003002,1.686,13.810,15.496,333.11
rain,0,800,600,200,220.000,8,0.015507,2.116,0.407,2.523,64.49
rain,0,800,600,200,220.000,9,0.002533,0.016,9.158,9.175,394.79
rain,0,800,600,200,220.000,10,0.009187,0.021,6.076,6.097,108.85
rain,0,800,600,200,220.000,11,0.006131,0.018,8.296,8.315,163.11
rain,0,800,600,200,220.000,12,0.008326,0.018,8.309,8.327,120.11
rain,0,800,600,200,220.000,13,0.008339,0.019,8.806,8.825,119.92
rain,0,800,600,200,220.000,14,0.008837,0.307,7.594,7.901,113.16
rain,0,800,600,200,220.000,15,0.007914,0.024,12.419,12.442,126.36
rain,0,800,600,200,220.000,16,0.012454,0.016,4.144,4.160,80.30
rain,0,800,600,200,220.000,17,0.004172,0.018,8.323,8.342,239.69
rain,0,800,600,200,220.000,18,0.008353,0.016,8.344,8.360,119.72
rain,0,800,600,200,220.000,19,0.008371,0.017,8.335,8.351,119.46
rain,0,800,600,200,220.000,20,0.008363,0.015,8.334,8.349,119.57
rain,0,800,600,200,220.000,21,0.008360,0.016,8.785,8.801,119.62
rain,0,800,600,200,220.000,22,0.008813,0.307,7.544,7.851,113.47
rain,0,800,600,200,220.000,23,0.007862,0.015,8.380,8.395,127.19
rain,0,800,600,200,220.000,24,0.008408,0.015,8.280,8.295,118.93
rain,0,800,600,200,220.000,25,0.008306,0.016,8.333,8.350,120.39
rain,0,800,600,200,220.000,26,0.008362,0.016,8.336,8.352,119.59
rain,0,800,600,200,220.000,27,0.008365,0.016,8.278,8.294,119.55
rain,0,800,600,200,220.000,28,0.008306,0.016,8.348,8.364,120.39
rain,0,800,600,200,220.000,29,0.008376,0.017,8.285,8.302,119.39
rain,0,800,600,200,220.000,30,0.008314,0.015,8.345,8.360,120.28
rain,0,800,600,200,220.000,31,0.008397,0.015,8.306,8.322,119.09
rain,0,800,600,200,220.000,32,0.008334,0.016,8.292,8.308,119.99
rain,0,800,600,200,220.000,33,0.008319,0.018,8.319,8.337,120.21
rain,0,800,600,200,220.000,34,0.008349,0.019,8.373,8.392,119.77
rain,0,800,600,200,220.000,35,0.008405,0.022,13.570,13.593,118.98
rain,0,800,600,200,220.000,36,0.013606,0.203,2.854,3.057,73.50
rain,0,800,600,200,220.000,37,0.003069,0.015,8.365,8.381,325.84
rain,0,800,600,200,220.000,38,0.008392,0.028,8.283,8.311,119.16
rain,0,800,600,200,220.000,39,0.008323,0.016,8.319,8.335,120.15
rain,0,800,600,200,220.000,40,0.008347,0.410,7.892,8.303,119.80
rain,0,800,600,200,220.000,41,0.008315,0.016,8.366,8.382,120.26
rain,0,800,600,200,220.000,42,0.008393,0.380,7.944,8.325,119.15
rain,0,800,600,200,220.000,43,0.008337,0.016,8.324,8.340,119.95
rain,0,800,600,200,220.000,44,0.008351,0.285,8.077,8.362,119.75
rain,0,800,600,200,220.000,45,0.008374,0.017,8.303,8.319,119.42
rain,0,800,600,200,220.000,46,0.008331,2.507,5.782,8.289,120.03
rain,0,800,600,200,220.000,47,0.008300,0.016,8.364,8.380,120.48
rain,0,800,600,200,220.000,48,0.008397,0.025,8.290,8.315,119.09
rain,0,800,600,200,220.000,49,0.008328,0.021,12.056,12.077,120.08
rain,0,800,600,200,220.000,50,0.012090,0.016,4.611,4.627,82.71
rain,0,800,600,200,220.000,51,0.004638,0.016,9.044,9.061,215.61
rain,0,800,600,200,220.000,52,0.009077,33.903,4.089,37.992,110.17
rain,0,800,600,200,220.000,53,0.038023,18.715,1.318,20.033,26.30
rain,0,800,600,200,220.000,54,0.020053,0.027,0.518,0.545,49.87
rain,0,800,600,200,220.000,55,0.000557,0.023,5.309,5.332,1795.33
rain,0,800,600,200,220.000,56,0.005349,0.018,0.542,0.560,186.95
rain,0,800,600,200,220.000,57,0.000573,0.019,1.595,1.614,1745.20
rain,0,800,600,200,220.000,58,0.001628,0.018,8.314,8.332,614.25
rain,0,800,600,200,220.000,59,0.008346,0.024,12.385,12.409,119.82
rain,0,800,600,200,220.000,60,0.012425,0.018,4.924,4.942,80.48
rain,0,800,600,200,220.000,61,0.004977,0.016,7.728,7.744,200.92
